sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species_id,species,sepal_area_cm2,petal_area_cm2,sepal_aspect_ratio,petal_aspect_ratio
5.1,3.7,1.5,0.4,0,setosa,18.87,0.6000000000000001,1.3783783783783783,3.75
4.6,3.6,1.0,0.2,0,setosa,16.56,0.2,1.2777777777777777,5.0
5.1,3.3,1.7,0.5,0,setosa,16.83,0.85,1.5454545454545454,3.4
4.8,3.4,1.9,0.2,0,setosa,16.32,0.38,1.411764705882353,9.499999999999998
5.0,3.0,1.6,0.2,0,setosa,15.0,0.32000000000000006,1.6666666666666667,8.0
5.0,3.4,1.6,0.4,0,setosa,17.0,0.6400000000000001,1.4705882352941178,4.0
5.2,3.5,1.5,0.2,0,setosa,18.2,0.30000000000000004,1.4857142857142858,7.5
5.2,3.4,1.4,0.2,0,setosa,17.68,0.27999999999999997,1.5294117647058825,6.999999999999999
4.7,3.2,1.6,0.2,0,setosa,15.040000000000001,0.32000000000000006,1.46875,8.0
4.8,3.1,1.6,0.2,0,setosa,14.879999999999999,0.32000000000000006,1.5483870967741935,8.0
5.4,3.4,1.5,0.4,0,setosa,18.36,0.6000000000000001,1.5882352941176472,3.75
5.2,4.05,1.5,0.1,0,setosa,21.06,0.15000000000000002,1.2839506172839508,15.0
5.5,4.05,1.4,0.2,0,setosa,22.275,0.27999999999999997,1.3580246913580247,6.999999999999999
5.0,3.2,1.2,0.2,0,setosa,16.0,0.24,1.5625,5.999999999999999
5.5,3.5,1.3,0.2,0,setosa,19.25,0.26,1.5714285714285714,6.5
4.4,3.0,1.3,0.2,0,setosa,13.200000000000001,0.26,1.4666666666666668,6.5
5.1,3.4,1.5,0.2,0,setosa,17.34,0.30000000000000004,1.5,7.5
5.0,3.5,1.3,0.3,0,setosa,17.5,0.39,1.4285714285714286,4.333333333333334
4.5,2.3,1.3,0.3,0,setosa,10.35,0.39,1.956521739130435,4.333333333333334
4.4,3.2,1.3,0.2,0,setosa,14.080000000000002,0.26,1.375,6.5
5.0,3.5,1.6,0.6,0,setosa,17.5,0.96,1.4285714285714286,2.666666666666667
5.1,3.8,1.9,0.4,0,setosa,19.38,0.76,1.3421052631578947,4.749999999999999
4.8,3.0,1.4,0.3,0,setosa,14.399999999999999,0.42,1.5999999999999999,4.666666666666667
5.1,3.8,1.6,0.2,0,setosa,19.38,0.32000000000000006,1.3421052631578947,8.0
4.6,3.2,1.4,0.2,0,setosa,14.719999999999999,0.27999999999999997,1.4374999999999998,6.999999999999999
5.3,3.7,1.5,0.2,0,setosa,19.61,0.30000000000000004,1.4324324324324322,7.5
5.0,3.3,1.4,0.2,0,setosa,16.5,0.27999999999999997,1.5151515151515151,6.999999999999999
7.0,3.2,4.7,1.4,1,versicolor,22.400000000000002,6.58,2.1875,3.3571428571428577
6.4,3.2,4.5,1.5,1,versicolor,20.480000000000004,6.75,2.0,3.0
6.9,3.1,4.9,1.5,1,versicolor,21.39,7.3500000000000005,2.2258064516129035,3.266666666666667
5.5,2.3,4.0,1.3,1,versicolor,12.649999999999999,5.2,2.3913043478260874,3.0769230769230766
6.5,2.8,4.6,1.5,1,versicolor,18.2,6.8999999999999995,2.3214285714285716,3.0666666666666664
5.7,2.8,4.5,1.3,1,versicolor,15.959999999999999,5.8500000000000005,2.035714285714286,3.4615384615384612
6.3,3.3,4.7,1.6,1,versicolor,20.79,7.5200000000000005,1.9090909090909092,2.9375
4.9,2.4,3.3,1.0,1,versicolor,11.76,3.3,2.041666666666667,3.3
6.6,2.9,4.6,1.3,1,versicolor,19.139999999999997,5.9799999999999995,2.2758620689655173,3.538461538461538
5.2,2.7,3.9,1.4,1,versicolor,14.040000000000001,5.46,1.9259259259259258,2.785714285714286
5.0,2.05,3.5,1.0,1,versicolor,10.25,3.5,2.439024390243903,3.5
5.9,3.0,4.2,1.5,1,versicolor,17.700000000000003,6.300000000000001,1.9666666666666668,2.8000000000000003
6.0,2.2,4.0,1.0,1,versicolor,13.200000000000001,4.0,2.727272727272727,4.0
6.1,2.9,4.7,1.4,1,versicolor,17.689999999999998,6.58,2.103448275862069,3.3571428571428577
5.6,2.9,3.6,1.3,1,versicolor,16.24,4.680000000000001,1.9310344827586206,2.769230769230769
6.7,3.1,4.4,1.4,1,versicolor,20.77,6.16,2.161290322580645,3.1428571428571432
5.6,3.0,4.5,1.5,1,versicolor,16.799999999999997,6.75,1.8666666666666665,3.0
5.8,2.7,4.1,1.0,1,versicolor,15.66,4.1,2.148148148148148,4.1
6.2,2.2,4.5,1.5,1,versicolor,13.640000000000002,6.75,2.818181818181818,3.0
5.6,2.5,3.9,1.1,1,versicolor,14.0,4.29,2.2399999999999998,3.545454545454545
5.9,3.2,4.8,1.8,1,versicolor,18.880000000000003,8.64,1.84375,2.6666666666666665
6.1,2.8,4.0,1.3,1,versicolor,17.08,5.2,2.1785714285714284,3.0769230769230766
6.3,2.5,4.9,1.5,1,versicolor,15.75,7.3500000000000005,2.52,3.266666666666667
6.1,2.8,4.7,1.2,1,versicolor,17.08,5.64,2.1785714285714284,3.916666666666667
6.4,2.9,4.3,1.3,1,versicolor,18.56,5.59,2.206896551724138,3.3076923076923075
6.6,3.0,4.4,1.4,1,versicolor,19.799999999999997,6.16,2.1999999999999997,3.1428571428571432
6.8,2.8,4.8,1.4,1,versicolor,19.04,6.72,2.428571428571429,3.428571428571429
6.7,3.0,5.0,1.7,1,versicolor,20.1,8.5,2.2333333333333334,2.9411764705882355
6.0,2.9,4.5,1.5,1,versicolor,17.4,6.75,2.0689655172413794,3.0
5.7,2.6,3.5,1.0,1,versicolor,14.82,3.5,2.1923076923076925,3.5
5.5,2.4,3.8,1.1,1,versicolor,13.2,4.18,2.291666666666667,3.454545454545454
5.5,2.4,3.7,1.0,1,versicolor,13.2,3.7,2.291666666666667,3.7
5.8,2.7,3.9,1.2,1,versicolor,15.66,4.68,2.148148148148148,3.25
6.0,2.7,5.1,1.6,1,versicolor,16.200000000000003,8.16,2.222222222222222,3.1874999999999996
5.4,3.0,4.5,1.5,1,versicolor,16.200000000000003,6.75,1.8,3.0
6.0,3.4,4.5,1.6,1,versicolor,20.4,7.2,1.7647058823529411,2.8125
6.7,3.1,4.7,1.5,1,versicolor,20.77,7.050000000000001,2.161290322580645,3.1333333333333333
6.3,2.3,4.4,1.3,1,versicolor,14.489999999999998,5.720000000000001,2.739130434782609,3.3846153846153846
5.6,3.0,4.1,1.3,1,versicolor,16.799999999999997,5.33,1.8666666666666665,3.1538461538461533
5.5,2.5,4.0,1.3,1,versicolor,13.75,5.2,2.2,3.0769230769230766
5.5,2.6,4.4,1.2,1,versicolor,14.3,5.28,2.1153846153846154,3.666666666666667
6.1,3.0,4.6,1.4,1,versicolor,18.299999999999997,6.4399999999999995,2.033333333333333,3.2857142857142856
5.8,2.6,4.0,1.2,1,versicolor,15.08,4.8,2.230769230769231,3.3333333333333335
5.0,2.3,3.3,1.0,1,versicolor,11.5,3.3,2.173913043478261,3.3
5.6,2.7,4.2,1.3,1,versicolor,15.12,5.460000000000001,2.074074074074074,3.230769230769231
5.7,3.0,4.2,1.2,1,versicolor,17.1,5.04,1.9000000000000001,3.5000000000000004
5.7,2.9,4.2,1.3,1,versicolor,16.53,5.460000000000001,1.9655172413793105,3.230769230769231
6.2,2.9,4.3,1.3,1,versicolor,17.98,5.59,2.137931034482759,3.3076923076923075
5.1,2.5,3.0,1.1,1,versicolor,12.75,3.3000000000000003,2.04,2.727272727272727
5.7,2.8,4.1,1.3,1,versicolor,15.959999999999999,5.33,2.035714285714286,3.1538461538461533
6.3,3.3,6.0,2.5,2,virginica,20.79,15.0,1.9090909090909092,2.4
5.8,2.7,5.1,1.9,2,virginica,15.66,9.69,2.148148148148148,2.6842105263157894
7.1,3.0,5.9,2.1,2,virginica,21.299999999999997,12.39,2.3666666666666667,2.8095238095238098
6.3,2.9,5.6,1.8,2,virginica,18.27,10.08,2.1724137931034484,3.1111111111111107
6.5,3.0,5.8,2.2,2,virginica,19.5,12.76,2.1666666666666665,2.6363636363636362
7.6,3.0,6.6,2.1,2,virginica,22.799999999999997,13.86,2.533333333333333,3.1428571428571423
4.9,2.5,4.5,1.7,2,virginica,12.25,7.6499999999999995,1.9600000000000002,2.6470588235294117
7.3,2.9,6.3,1.8,2,virginica,21.169999999999998,11.34,2.5172413793103448,3.5
6.7,2.5,5.8,1.8,2,virginica,16.75,10.44,2.68,3.222222222222222
7.2,3.6,6.1,2.5,2,virginica,25.92,15.25,2.0,2.44
6.5,3.2,5.1,2.0,2,virginica,20.8,10.2,2.03125,2.55
6.4,2.7,5.3,1.9,2,virginica,17.28,10.069999999999999,2.3703703703703702,2.7894736842105265
6.8,3.0,5.5,2.1,2,virginica,20.4,11.55,2.2666666666666666,2.619047619047619
5.7,2.5,5.0,2.0,2,virginica,14.25,10.0,2.2800000000000002,2.5
5.8,2.8,5.1,2.4,2,virginica,16.24,12.239999999999998,2.0714285714285716,2.125
6.4,3.2,5.3,2.3,2,virginica,20.480000000000004,12.19,2.0,2.3043478260869565
6.5,3.0,5.5,1.8,2,virginica,19.5,9.9,2.1666666666666665,3.0555555555555554
7.7,3.8,6.7,2.2,2,virginica,29.259999999999998,14.740000000000002,2.0263157894736845,3.0454545454545454
7.7,2.6,6.9,2.3,2,virginica,20.02,15.87,2.9615384615384617,3.0000000000000004
6.0,2.2,5.0,1.5,2,virginica,13.200000000000001,7.5,2.727272727272727,3.3333333333333335
6.9,3.2,5.7,2.3,2,virginica,22.080000000000002,13.11,2.15625,2.4782608695652177
5.6,2.8,4.9,2.0,2,virginica,15.679999999999998,9.8,2.0,2.45
7.7,2.8,6.7,2.0,2,virginica,21.56,13.4,2.7500000000000004,3.35
6.3,2.7,4.9,1.8,2,virginica,17.01,8.82,2.333333333333333,2.7222222222222223
6.7,3.3,5.7,2.1,2,virginica,22.11,11.97,2.0303030303030303,2.7142857142857144
7.2,3.2,6.0,1.8,2,virginica,23.040000000000003,10.8,2.25,3.333333333333333
6.2,2.8,4.8,1.8,2,virginica,17.36,8.64,2.2142857142857144,2.6666666666666665
6.1,3.0,4.9,1.8,2,virginica,18.299999999999997,8.82,2.033333333333333,2.7222222222222223
6.4,2.8,5.6,2.1,2,virginica,17.919999999999998,11.76,2.285714285714286,2.6666666666666665
7.2,3.0,5.8,1.6,2,virginica,21.6,9.28,2.4,3.6249999999999996
7.4,2.8,6.1,1.9,2,virginica,20.72,11.589999999999998,2.6428571428571432,3.2105263157894735
7.9,3.8,6.4,2.0,2,virginica,30.02,12.8,2.0789473684210527,3.2
6.4,2.8,5.6,2.2,2,virginica,17.919999999999998,12.32,2.285714285714286,2.545454545454545
6.3,2.8,5.1,1.5,2,virginica,17.639999999999997,7.6499999999999995,2.25,3.4
6.1,2.6,5.6,1.4,2,virginica,15.86,7.839999999999999,2.346153846153846,4.0
7.7,3.0,6.1,2.3,2,virginica,23.1,14.029999999999998,2.566666666666667,2.6521739130434785
6.3,3.4,5.6,2.4,2,virginica,21.419999999999998,13.44,1.8529411764705883,2.3333333333333335
6.4,3.1,5.5,1.8,2,virginica,19.840000000000003,9.9,2.064516129032258,3.0555555555555554
6.0,3.0,4.8,1.8,2,virginica,18.0,8.64,2.0,2.6666666666666665
6.9,3.1,5.4,2.1,2,virginica,21.39,11.340000000000002,2.2258064516129035,2.5714285714285716
6.7,3.1,5.6,2.4,2,virginica,20.77,13.44,2.161290322580645,2.3333333333333335
6.9,3.1,5.1,2.3,2,virginica,21.39,11.729999999999999,2.2258064516129035,2.217391304347826
6.8,3.2,5.9,2.3,2,virginica,21.76,13.57,2.125,2.565217391304348
6.7,3.3,5.7,2.5,2,virginica,22.11,14.25,2.0303030303030303,2.2800000000000002
6.7,3.0,5.2,2.3,2,virginica,20.1,11.959999999999999,2.2333333333333334,2.2608695652173916
6.3,2.5,5.0,1.9,2,virginica,15.75,9.5,2.52,2.6315789473684212
6.5,3.0,5.2,2.0,2,virginica,19.5,10.4,2.1666666666666665,2.6
6.2,3.4,5.4,2.3,2,virginica,21.08,12.42,1.823529411764706,2.347826086956522
5.9,3.0,5.1,1.8,2,virginica,17.700000000000003,9.18,1.9666666666666668,2.833333333333333
